# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	5035
#@/user_id	salt-linux
a 	啊	c=5 d=2.59854 t=5035
a a 	啊啊	c=1 d=0.666977 t=5035
a a a 	啊啊啊	c=1 d=0.67368 t=5035
a a a a 	啊啊啊啊	c=0 d=0.065377 t=5035
a li 	阿里	c=3 d=1.205 t=5035
a li yun 	阿里雲	c=1 d=0.00504176 t=5035
a li yun pan 	阿里雲盤	c=1 d=0.474734 t=5035
a wu wu wu wa ao a a a a a a a a a a a a a a a a a a a a 	啊嗚嗚嗚凹凹啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊	c=1 d=0.657047 t=5035
ai 	愛	c=1 d=0.826959 t=5035
ai jiang shan 	愛江山	c=1 d=0.11475 t=5035
ai pin cai hui ying 	愛拼纔會贏	c=1 d=0.353455 t=5035
ai shang 	愛上	c=0 d=0.0733447 t=5035
an 	安	c=1 d=0.290835 t=5035
an jian 	案件	c=1 d=0.970446 t=5035
an li 	案例	c=5 d=3.73893 t=5035
an niu 	按鈕	c=1 d=0.486752 t=5035
an quan 	安全	c=5 d=3.0503 t=5035
an quan wen ti 	安全問題	c=1 d=0.985112 t=5035
an zhao 	按照	c=1 d=0.822835 t=5035
an zhuang 	安裝	c=54 d=14.7178 t=5035
ao 	凹	c=2 d=1.64569 t=5035
ao ao 	嗷嗷	c=1 d=0.140858 t=5035
ba 	吧	c=1 d=0.67032 t=5035
ba 	把	c=2 d=0.39728 t=5035
ba 	霸	c=0 d=0.0044601 t=5035
ba hang 	八行	c=1 d=0.865022 t=5035
ba shou 	把手	c=1 d=0.463013 t=5035
ba zhou qi 	拔軸器	c=1 d=0.0575558 t=5035
ba zi 	靶子	c=1 d=0.680451 t=5035
bai 	敗	c=0 d=0.0694197 t=5035
bai du 	百度	c=5 d=2.02363 t=5035
bai du fan yi 	百度翻譯	c=1 d=0.932394 t=5035
bai du wang pan 	百度網盤	c=2 d=0.802519 t=5035
bai fen hao 	百分號	c=1 d=0.778801 t=5035
bai ke 	百科	c=1 d=0.93667 t=5035
bai tiao 	白條	c=0 d=0.00584257 t=5035
ban 	板	c=0 d=0.0847894 t=5035
ban 	版	c=1 d=0.562705 t=5035
ban ben 	版本	c=4 d=1.38361 t=5035
ban fa 	辦法	c=1 d=0.786628 t=5035
ban hui 	班會	c=1 d=0.156453 t=5035
ban ji 	班級	c=1 d=0.0675424 t=5035
ban nian 	半年	c=1 d=0.453845 t=5035
bang 	榜	c=1 d=0.603506 t=5035
bang ding 	綁定	c=1 d=0.0119742 t=5035
bao 	包	c=5 d=2.08752 t=5035
bao cun 	保存	c=6 d=2.06957 t=5035
bao cun mo xing 	保存模型	c=1 d=0.00327971 t=5035
bao cun tu pian 	保存圖片	c=1 d=1 t=4992
bao cun wen jian 	保存文件	c=1 d=0.814647 t=5035
bao cuo 	報錯	c=3 d=0.726149 t=5035
bao guan li qi 	包管理器	c=1 d=0.436049 t=5035
bao han 	包含	c=0 d=0.056836 t=5035
bao han you 	包含有	c=1 d=0.571209 t=5035
bao kao 	報考	c=1 d=0.0225956 t=5035
bao kuo 	包括	c=1 d=0.0317456 t=5035
bao ming 	報名	c=1 d=0.802519 t=5035
bei 	被	c=1 d=0.740818 t=5035
bei fen 	備份	c=1 d=0.852144 t=5035
bei jing 	北京	c=0 d=0.0231078 t=5035
bei jing 	背景	c=2 d=0.593881 t=5035
bei ju 	悲劇	c=1 d=0.535261 t=5035
bei po 	被迫	c=0 d=0.00256042 t=5035
bei po tiao ji dao 	被迫調劑到	c=1 d=0.0257325 t=5035
bei tiao dao 	被調到	c=1 d=0.0259911 t=5035
bei tiao ji 	被調劑	c=1 d=0.0298969 t=5035
bei ye 	貝葉	c=0 d=0.0932394 t=5035
bei ye si 	貝葉斯	c=1 d=0.937067 t=5035
ben chan pin 	本產品	c=1 d=0.600496 t=5035
ben di 	本地	c=4 d=1.70938 t=5035
ben ke 	本科	c=1 d=0.117068 t=5035
ben ke shi 	本科時	c=1 d=0.0280154 t=5035
ben wen 	本文	c=5 d=1.02717 t=5035
ben zhi 	本質	c=0 d=0.0071719 t=5035
bi 	必	c=0 d=0.0044601 t=5035
bi 	比	c=1 d=0.211485 t=5035
bi 	筆	c=1 d=0.683861 t=5035
bi an 	幣安	c=3 d=2.32294e-10 t=5035
bi hu 	壁虎	c=2 d=1.90284 t=5035
bi ji 	筆記	c=7 d=2.13763 t=5035
bi li bi li 	嗶哩嗶哩	c=2 d=0.965605 t=5035
bi lv 	比率	c=1 d=0.337902 t=5035
bi qu ge 	筆趣閣	c=1 d=0.690734 t=5035
bi ru 	比如	c=1 d=0.0862936 t=5035
bi shun 	筆順	c=3 d=1.90284 t=5035
bi wo 	比我	c=0 d=0.0524663 t=5035
bi wo na ge 	比我那個	c=1 d=0.527292 t=5035
bi ye 	畢業	c=2 d=0.0186074 t=5035
bi ying 	必應	c=3 d=0.182432 t=5035
bi zhang 	避障	c=1 d=0.71177 t=5035
bi zhi 	壁紙	c=1 d=0.814647 t=5035
bian 	便	c=1 d=0.514274 t=5035
bian cheng 	編程	c=4 d=0.201422 t=5035
bian cheng 	變成	c=0 d=0.0955997 t=5035
bian huan 	變換	c=1 d=0.00511796 t=5035
bian ji 	邊際	c=0 d=0.0965605 t=5035
bian ji qi 	編輯器	c=2 d=1.04184 t=5035
bian li 	遍歷	c=2 d=1.85214 t=4960
bian liang 	變量	c=4 d=3.2265 t=5035
bian ma 	編碼	c=4 d=1.43048 t=5035
bian mao 	邊貿	c=1 d=0.50409 t=5035
bian qian 	便籤	c=1 d=0.557106 t=5035
bian zhi 	編制	c=0 d=0.00149208 t=5035
bian zhi gong zuo 	編制工作	c=1 d=0.0149956 t=5035
biao 	標	c=1 d=0.408608 t=5035
biao chi 	標尺	c=1 d=0.557106 t=5035
biao da shi 	表達式	c=1 d=0.627172 t=5035
biao qian 	標籤	c=5 d=1.28353 t=5035
biao qing 	表情	c=1 d=0.302861 t=5035
biao shi 	表示	c=2 d=0.459904 t=5035
biao ti 	標題	c=1 d=1 t=5004
biao xian chu 	表現出	c=1 d=0.053397 t=5035
biao zhun 	標準	c=2 d=0.796 t=5035
biao zhun cha 	標準差	c=1 d=0.00410726 t=5035
biao zhun xing 	標準型	c=3 d=2.33061 t=5035
bie 	別	c=0 d=0.0147342 t=5035
bie bu hao yi si 	別不好意思	c=1 d=0.14808 t=5035
bie de 	別的	c=0 d=0.0315058 t=5035
bie de biao qing 	別的表情	c=1 d=0.316637 t=5035
bie ren 	別人	c=0 d=0.0266016 t=5035
bie ren ye shi bu hui 	別人也是不會	c=1 d=0.131336 t=5035
bie ren zai qin shi 	別人在寢室	c=1 d=0.136014 t=5035
bing 	並	c=3 d=0.596001 t=5035
bing 	病	c=0 d=0.0740818 t=5035
bing bing 	冰冰	c=2 d=0.15384 t=5035
bing bu shi 	並不是	c=1 d=0.0156076 t=5035
bing shu qian tou wan mu chun 	病樹前頭萬木春	c=1 d=0.744532 t=5035
bo fang 	播放	c=1 d=0.436049 t=5035
bo ke 	博客	c=5 d=2.54367 t=5035
bo shu 	帛書	c=1 d=0.0789941 t=5035
bo shu lao zi 	帛書老子	c=1 d=0.0658748 t=5035
bu 	不	c=2 d=0.743224 t=5035
bu bian 	不便	c=1 d=0.125556 t=5035
bu cun zai 	不存在	c=1 d=0.683861 t=5035
bu cuo 	不錯	c=1 d=0.637686 t=5035
bu cuo de 	不錯的	c=0 d=0.000810722 t=5035
bu dui 	不對	c=1 d=0.559898 t=5035
bu e 	不餓	c=1 d=0.985112 t=5035
bu fa 	不發	c=0 d=0.0752014 t=5035
bu fa dao 	不發到	c=1 d=0.755784 t=5035
bu guan 	不管	c=1 d=0.0385808 t=5035
bu guo 	不過	c=1 d=0.00941925 t=5035
bu hao 	不好	c=2 d=0.477114 t=5035
bu hao yi si 	不好意思	c=0 d=0.0147342 t=5035
bu hui 	不會	c=4 d=0.827597 t=5035
