# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	759
#@/user_id	sync-rime
a 	阿	c=1 d=0.923116 t=759
an quan 	安全	c=1 d=0.0558548 t=759
ba la 	巴拉	c=2 d=1.73952 t=759
ba la ba la 	巴拉巴拉	c=2 d=1.64157 t=759
bao han 	包含	c=1 d=0.32271 t=759
bei 	被	c=4 d=2.73263 t=759
ben wen 	本文	c=1 d=0.798517 t=759
ben xiang 	本項	c=1 d=0.23457 t=759
bian de 	變得	c=1 d=0.265803 t=759
bian ma qi 	編碼器	c=4 d=1.61489 t=759
bing 	並	c=2 d=0.917475 t=759
bing jiang qi 	並將其	c=1 d=0.392586 t=759
bing qie 	並且	c=2 d=0.864208 t=759
bo la mu si 	勃拉姆斯	c=1 d=0.96079 t=759
bu 	不	c=0 d=0.0305747 t=759
bu fen 	部分	c=1 d=0.355227 t=759
bu guo 	不過	c=1 d=0.165299 t=759
bu li 	不利	c=0 d=0.0231078 t=759
bu li de 	不利的	c=1 d=0.232236 t=759
bu si 	不死	c=0 d=0.0937067 t=759
bu sun shi 	不損失	c=1 d=0.307279 t=759
bu tong 	不同	c=0 d=0.0343009 t=759
bu tong chi du 	不同尺度	c=1 d=0.344727 t=759
cai yong 	採用	c=1 d=0.83527 t=759
can cha 	殘差	c=1 d=0.786628 t=759
can shu 	參數	c=1 d=0.250879 t=759
can shu liang 	參數量	c=1 d=0.301194 t=759
ce liang 	測量	c=1 d=0.0833256 t=759
ce liang fa 	測量法	c=1 d=0.0850088 t=759
cha xun 	查詢	c=1 d=0.965605 t=759
chang jing 	場景	c=3 d=1.57971 t=759
chang jing zhong 	場景中	c=2 d=0.918512 t=759
chang jing zhong de 	場景中的	c=2 d=0.299197 t=759
chao guo 	超過	c=1 d=0.546075 t=759
che 	車	c=1 d=0.740319 t=759
che huo 	車禍	c=4 d=3.26176 t=759
che huo zhong 	車禍中	c=1 d=0.839457 t=759
che liang 	車輛	c=2 d=0.105586 t=759
cheng 	成	c=0 d=0.0722528 t=759
cheng ben 	成本	c=1 d=0.119433 t=759
cheng ben di 	成本低	c=1 d=0.120031 t=759
chi 	彳	c=1 d=0.965605 t=759
chi du 	尺度	c=0 d=0.0343009 t=759
chong jian 	重建	c=2 d=0.693882 t=759
chu de 	出的	c=0 d=0.0532592 t=759
chu le 	出了	c=1 d=0.117068 t=759
chu xian 	出現	c=0 d=0.0168638 t=759
chuan shu 	傳輸	c=0 d=0.0479506 t=759
chuan shu dao 	傳輸到	c=1 d=0.481909 t=759
chuang le 	撞了	c=1 d=0.0550232 t=759
chuang liang 	愴悢	c=1 d=0.0547488 t=759
chuang xin 	創新	c=0 d=0.0193013 t=759
chuang xin dian 	創新點	c=1 d=0.19398 t=759
chun 	純	c=1 d=0.554327 t=759
ci 	詞	c=1 d=0.588605 t=759
ci wai 	此外	c=2 d=0.854717 t=759
cong er 	從而	c=0 d=0.0063609 t=759
cong er da dao 	從而達到	c=1 d=0.0639279 t=759
da 	打	c=0 d=0.0937067 t=759
da bu si 	打不死	c=1 d=0.941765 t=759
da dao 	達到	c=2 d=0.481129 t=759
da duo shu 	大多數	c=1 d=0.76338 t=759
da lao 	大佬	c=1 d=0.88692 t=759
da you zuo wei 	大有作爲	c=1 d=0.0581342 t=759
da yu 	大雨	c=0 d=0.0980199 t=759
da zhi shang 	大致上	c=1 d=0.955998 t=759
dai ru 	代入	c=1 d=0.0982731 t=759
dai ti 	代替	c=1 d=0.860708 t=759
dan 	但	c=2 d=1.65117 t=759
dan mu 	單目	c=6 d=1.18503 t=759
dan mu shen du gu ji 	單目深度估計	c=3 d=0.406557 t=759
dan mu shen du gu ji de 	單目深度估計的	c=1 d=0.118245 t=759
dan mu xiang ji 	單目相機	c=1 d=0.13466 t=759
dao 	到	c=1 d=0.27285 t=759
dao lu shang 	道路上	c=1 d=0.0485578 t=759
de 	得	c=2 d=0.194106 t=759
de 	的	c=69 d=15.7866 t=759
de fang fa 	的方法	c=1 d=0.101266 t=759
de ying yong 	的應用	c=1 d=0.0459592 t=759
deng 	等	c=2 d=0.169668 t=759
di 	地	c=0 d=0.095123 t=759
dian 	點	c=0 d=0.0193013 t=759
dian yun 	點雲	c=2 d=0.128511 t=759
dou 	都	c=1 d=0.485111 t=759
dou 	鬥	c=1 d=0.878095 t=759
dou shi 	都是	c=1 d=0.0724398 t=759
dou shi yong 	都使用	c=1 d=0.128093 t=759
du 	都	c=0 d=0.071177 t=759
dui 	對	c=1 d=0.25284 t=759
dui yu 	對於	c=2 d=0.32289 t=759
duo 	多	c=0 d=0.0733447 t=759
eh 	ㄝ	c=1 d=0.99005 t=759
er 	爾	c=1 d=0.932393 t=759
er hou 	而後	c=1 d=0.460703 t=759
er wei 	二維	c=1 d=0.379083 t=759
fa sheng 	發生	c=3 d=2.35805 t=759
fa zhan 	發展	c=3 d=1.37118 t=759
fan hua 	泛化	c=0 d=0.0139457 t=759
fan hua xing 	泛化性	c=1 d=0.140156 t=759
fan wei 	範圍	c=1 d=0.0461896 t=759
fang fa 	方法	c=4 d=1.05501 t=759
fen bie 	分別	c=1 d=0.369723 t=759
fen san 	分散	c=1 d=0.818731 t=759
fen wei 	分爲	c=1 d=0.444858 t=759
fu 	福	c=1 d=0.99005 t=759
fu za 	複雜	c=1 d=0.0520787 t=759
fu zhi 	複製	c=1 d=0.737123 t=759
gai jin 	改進	c=2 d=0.558932 t=759
gao xing neng 	高性能	c=1 d=0.170333 t=759
ge 	個	c=1 d=0.412714 t=759
ge ji 	各級	c=1 d=0.501576 t=759
geng gao 	更高	c=1 d=0.218712 t=759
geng xiao 	更小	c=1 d=0.267136 t=759
gong shi 	公式	c=1 d=0.0948935 t=759
gong xian 	貢獻	c=1 d=0.810584 t=759
gong ye 	工業	c=1 d=0.67368 t=759
gong zuo 	工作	c=0 d=0.023457 t=759
gong zuo zhong 	工作中	c=1 d=0.235746 t=759
gu ji 	估計	c=4 d=0.605951 t=759
gu ming si yi 	顧名思義	c=1 d=0.0761539 t=759
gu suan 	估算	c=2 d=0.204694 t=759
guan jian zi 	關鍵字	c=1 d=0.56836 t=759
guang 	廣	c=1 d=0.121238 t=759
guang fan xing 	廣泛性	c=1 d=0.138069 t=759
guo 	過	c=1 d=0.358796 t=759
guo yu 	過於	c=0 d=0.0156453 t=759
guo yu jian dan 	過於簡單	c=1 d=0.157237 t=759
ha ha 	哈哈	c=1 d=0.95123 t=759
han 	汗	c=1 d=0.937067 t=759
he 	和	c=13 d=3.7976 t=759
hen chang shi jian 	很長時間	c=2 d=1.30886 t=759
hen duo 	很多	c=0 d=0.0932393 t=759
hen duo zhong fang fa 	很多種方法	c=1 d=0.937067 t=759
hen guang 	很廣	c=1 d=0.0464212 t=759
hen jian dan 	很簡單	c=1 d=0.113041 t=759
hen qiang 	很強	c=2 d=0.275456 t=759
hou 	後	c=1 d=0.427415 t=759
hou you 	後由	c=1 d=0.486752 t=759
huan hang 	換行	c=1 d=0.0953692 t=759
hui gui 	回歸	c=1 d=0.348192 t=759
hun 	魂	c=1 d=0.873716 t=759
huo 	或	c=2 d=0.900324 t=759
huo de 	獲得	c=0 d=0.0733447 t=759
huo qu 	獲取	c=3 d=0.913932 t=759
huo qu shen du 	獲取深度	c=1 d=0.044601 t=759
ji 	及	c=1 d=0.225372 t=759
ji ben 	基本	c=0 d=0.060653 t=759
ji ben ren wu 	基本任務	c=1 d=0.609571 t=759
ji ben shang 	基本上	c=1 d=0.650509 t=759
ji guang 	激光	c=1 d=0.0769824 t=759
ji guang lei da 	激光雷達	c=4 d=0.247796 t=759
ji hu 	幾乎	c=1 d=0.65377 t=759
ji ke 	即可	c=1 d=0.115903 t=759
ji lu yi 	記錄儀	c=0 d=0.0126186 t=759
ji shi 	即使	c=1 d=0.778801 t=759
ji suan 	計算	c=2 d=0.310161 t=759
ji suan ji 	計算機	c=2 d=1.24801 t=759
ji yu 	基於	c=2 d=0.759607 t=759
ji zhong 	幾種	c=1 d=0.970446 t=759
jia gou 	架構	c=2 d=0.543902 t=759
jia jia hu hu 	家家戶戶	c=1 d=0.657047 t=759
jia shi 	駕駛	c=1 d=0.0794534 t=759
jian ce 	檢測	c=2 d=0.828719 t=759
jian dan 	簡單	c=0 d=0.0156453 t=759
jian kong 	監控	c=1 d=0.126186 t=759
jian mo 	建模	c=1 d=0.965605 t=759
jian zhi 	兼職	c=1 d=0.965605 t=759
jiang 	將	c=9 d=1.99859 t=759
jiang qi 	將其	c=3 d=1.01808 t=759
jiao gao 	較高	c=1 d=0.161217 t=759
jie duan 	階段	c=3 d=1.35207 t=759
jie gou 	結構	c=3 d=1.45471 t=759
jie guo 	結果	c=1 d=0.543351 t=759
jie he 	結合	c=1 d=0.366044 t=759
jie jian 	借鑑	c=1 d=0.238115 t=759
jie jing 	街景	c=1 d=0.12493 t=759
jie ma qi 	解碼器	c=1 d=0.323033 t=759
jie shao 	介紹	c=1 d=0.105399 t=759
jin ji nian 	近幾年	c=1 d=0.687289 t=759
jin jin 	僅僅	c=0 d=0.0113041 t=759
jin jin xu yao 	僅僅需要	c=1 d=0.113608 t=759
jin xing 	進行	c=3 d=0.611421 t=759
jin xing le 	進行了	c=2 d=0.828131 t=759
jing dian 	經典	c=0 d=0.0657047 t=759
jing dian ren wu zhi yi 	經典任務之一	c=1 d=0.660341 t=759
jing que du 	精確度	c=1 d=0.313486 t=759
jiu bu 	就不	c=0 d=0.010435 t=759
jiu bu xiang xi 	就不詳細	c=1 d=0.104873 t=759
ju 	據	c=1 d=0.755784 t=759
ju bu 	局部	c=1 d=0.382893 t=759
ju li 	距離	c=3 d=0.154245 t=759
ju ti 	具體	c=1 d=0.107528 t=759
ju you 	具有	c=1 d=0.136014 t=759
juan ji 	卷積	c=1 d=0.571209 t=759
ke de 	可得	c=1 d=0.0992611 t=759
ke yi 	可以	c=2 d=0.110258 t=759
ke yi fen wei 	可以分爲	c=1 d=0.96079 t=759
kua 	㐄	c=1 d=1 t=759
la 	喇	c=1 d=0.95123 t=759
lai 	來	c=10 d=2.31472 t=759
lai shuo 	來說	c=0 d=0.0946485 t=759
le 	了	c=10 d=4.03467 t=759
lei da 	雷達	c=1 d=0.0773471 t=759
li 	離	c=1 d=0.946485 t=759
li yong 	利用	c=1 d=0.748264 t=759
lian he 	聯合	c=1 d=0.286505 t=759
lian jie 	連接	c=1 d=0.380345 t=759
lian jie 	鏈接	c=1 d=0.744532 t=759
liang 	兩	c=1 d=0.263159 t=759
liang 	量	c=1 d=0.294447 t=759
liang ge 	兩個	c=1 d=0.429557 t=759
lin 	林	c=1 d=0.980199 t=759
ling 	〇	c=1 d=0.970446 t=759
ling yu 	領域	c=3 d=0.164898 t=759
