# Rime user dictionary
#@/db_name	wubi98
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	6948
#@/user_id	sync-rime
aa 	式	c=2 d=0.551562 t=6948
aaaa 	工	c=1 d=0.0267826 t=6948
aad 	匞	c=1 d=1.10288e-05 t=6948
aahw 	工具	c=6 d=0.331161 t=6948
aaoh 	工业	c=1 d=0.0227089 t=6948
aau 	藏	c=4 d=1.07911 t=6948
aawt 	工作	c=9 d=0.38883 t=6948
aayu 	工商	c=5 d=0.400882 t=6948
ab 	节	c=2 d=0.496585 t=6948
abit 	节省	c=1 d=0.0911726 t=6948
abj 	节	c=1 d=0.217621 t=6948
abjj 	节日	c=1 d=1 t=6714
adab 	雅克萨	c=2 d=1.9802 t=6771
ade 	戎	c=1 d=0.386741 t=6948
adhh 	项目	c=1 d=0.516852 t=6948
aes 	菜	c=2 d=0.421707 t=6948
aeyj 	功课	c=1 d=0.169484 t=6948
afbb 	鞭子	c=1 d=0.244143 t=6948
afr 	靳	c=1 d=0.456119 t=6948
ag 	七	c=1 d=0.0269169 t=6948
aghg 	廿	c=1 d=0.548811 t=6948
agta 	董事长	c=1 d=0.0230521 t=6948
agu 	芙	c=1 d=1.09738e-05 t=6948
aguf 	苹	c=5 d=1.34119 t=6948
agyy 	苹方	c=2 d=0.904259 t=6948
ahnh 	卧	c=4 d=0.995561 t=6948
ahty 	雅	c=1 d=0.546074 t=6948
ai 	东	c=2 d=1.37957 t=6948
aii 	莎	c=1 d=0.331211 t=6948
aisg 	东西	c=1 d=0.222018 t=6948
ajat 	草莓	c=1 d=0.396532 t=6948
ajj 	草	c=1 d=0.210136 t=6948
ak 	或	c=4 d=0.950078 t=6948
akym 	欧路词典	c=1 d=0.0777573 t=6948
alaw 	蔑	c=1 d=0.106459 t=6948
alq 	萝	c=2 d=0.295275 t=6948
amfm 	贡献	c=1 d=1.74705e-05 t=6948
amw 	黄	c=2 d=0.595845 t=6948
amyg 	英语	c=18 d=4.04176 t=6948
amyy 	英文	c=5 d=0.162214 t=6948
andd 	巨大	c=1 d=0.339596 t=6948
ansy 	艺术	c=1 d=0.0246002 t=6948
anv 	世	c=2 d=0.619887 t=6948
anxn 	世纪	c=2 d=1.01124 t=6948
aps 	荣	c=1 d=0.416862 t=6948
aqbc 	获取	c=11 d=1.13673 t=6948
aqou 	炁	c=1 d=0.71177 t=6948
aqtj 	获得	c=2 d=0.243205 t=6948
arke 	区别	c=1 d=0.133321 t=6948
arkh 	欧路	c=2 d=0.712935 t=6948
arqw 	欧	c=3 d=0.421741 t=6948
atip 	医学	c=1 d=0.377192 t=6948
atj 	莉	c=2 d=0.296756 t=6948
atxu 	莓	c=1 d=0.299692 t=6948
auip 	共产党	c=1 d=0.628135 t=6948
avrq 	切换	c=7 d=1.81355 t=6948
avth 	切片	c=1 d=0.197898 t=6948
aw 	共	c=1 d=0.0850088 t=6948
awdb 	东风破	c=1 d=0.733447 t=6948
awet 	共用	c=4 d=0.434811 t=6948
awmg 	共同	c=1 d=0.00794671 t=6948
awnn 	花书	c=1 d=0.0155297 t=6948
awx 	花	c=2 d=0.0189809 t=6948
awxj 	花费	c=1 d=0.537945 t=6948
awyb 	共享	c=5 d=1.34608 t=6948
ay 	芳	c=1 d=0.173774 t=6948
b 	了	c=37 d=1.28937 t=6948
b 	子	c=1 d=0.396532 t=6948
bai 	陈	c=1 d=0.402525 t=6948
bb 	子	c=5 d=0.398519 t=6948
bbb 	子	c=1 d=0.402525 t=6948
bbbb 	子	c=2 d=1.02592 t=6948
bdpp 	随之	c=1 d=0.00151855 t=6948
bduh 	随着	c=2 d=0.00155657 t=6948
bfi 	际	c=1 d=0.467666 t=6948
bgb 	陆	c=1 d=0.414783 t=6948
biov 	函数	c=3 d=0.736128 t=6948
bjfc 	阿里云	c=1 d=0.00810725 t=6948
bkgf 	聖	c=1 d=0.869358 t=6948
bkoh 	职业	c=1 d=0.271173 t=6948
bm 	出	c=2 d=0.198914 t=6948
bmf 	祟	c=1 d=0.118838 t=6948
bmgm 	出现	c=2 d=0.0115459 t=6948
bmgu 	出来	c=2 d=0.619341 t=6948
bn 	也	c=7 d=1.09929 t=6948
bneg 	皮肤	c=1 d=0.640824 t=6948
bnjg 	也是	c=2 d=0.367423 t=6948
bnty 	皮	c=2 d=0.201632 t=6948
boff 	防火墙	c=2 d=0.885293 t=6948
bqaa 	隐藏	c=1 d=0.603506 t=6948
bs 	阿	c=2 d=0.70868 t=6948
bsjf 	阿里	c=8 d=0.264661 t=6948
btwq 	降低	c=1 d=0.375311 t=6948
buwg 	联合	c=3 d=0.238594 t=6948
by 	及	c=2 d=4.61923e-05 t=6948
byn 	孩	c=1 d=0.130029 t=6948
c 	以	c=7 d=0.844594 t=6948
cb 	邓	c=1 d=0.524662 t=6948
cc 	双	c=5 d=0.809966 t=6948
cccc 	又	c=1 d=9.95352e-05 t=6948
cccs 	桑	c=1 d=0.386741 t=6948
cccu 	叒	c=1 d=0.101267 t=6948
cchh 	双目	c=3 d=0.00207692 t=6948
cd 	参	c=3 d=0.661459 t=6948
cdcm 	参观	c=1 d=0.0248475 t=6948
cdfh 	对不起	c=1 d=0.168638 t=6948
cdft 	参考	c=4 d=0.0107352 t=6948
cdov 	参数	c=10 d=1.34511 t=6948
ce 	能	c=2 d=0.470138 t=6948
ceet 	通用	c=1 d=0.0466538 t=6948
cefp 	通过	c=8 d=0.630131 t=6948
ceip 	通常	c=4 d=0.863444 t=6948
ceqk 	能够	c=1 d=0.00429631 t=6948
cetd 	通知	c=2 d=0.848444 t=6948
ceut 	通道	c=2 d=0.317671 t=6948
cexx 	能	c=1 d=0.444858 t=6948
cf 	对	c=3 d=0.378135 t=6948
cfbn 	对了	c=2 d=0.196071 t=6948
cfcc 	圣桑	c=1 d=0.429558 t=6948
cff 	圣	c=1 d=0.384812 t=6948
cffy 	特	c=2 d=0.628065 t=6948
cfgf 	对于	c=7 d=0.701226 t=6948
cfgq 	特殊	c=1 d=0.366045 t=6948
cfhk 	特点	c=1 d=0.412714 t=6948
cfke 	特别	c=3 d=1.66716 t=6948
cfnt 	特性	c=1 d=0.282239 t=6948
cfpg 	特定	c=4 d=0.368431 t=6948
cfqc 	特色	c=1 d=0.0761537 t=6948
cfqk 	对象	c=1 d=0.355226 t=6948
cftg 	特征	c=16 d=1.38118 t=6948
cfxx 	对比	c=3 d=0.0224323 t=6948
cfyt 	对话	c=2 d=0.550605 t=6948
cg 	马	c=4 d=0.46526 t=6948
cgfc 	驱动	c=5 d=1.27528 t=6948
cgqy 	驻留	c=1 d=1 t=6674
cgw 	验	c=1 d=0.000750333 t=6948
cgyg 	验证	c=9 d=1.31643 t=6948
ckiy 	台湾	c=1 d=1 t=6789
cm 	观	c=1 d=0.514273 t=6948
cmim 	观测	c=1 d=0.562705 t=6948
cn 	予	c=1 d=0.133321 t=6948
cnh 	巴	c=1 d=0.514273 t=6948
cnhm 	预	c=3 d=0.484489 t=6948
cnim 	预测	c=10 d=0.999738 t=6948
cny 	厶	c=1 d=0.252839 t=6948
conc 	騢	c=1 d=0.371577 t=6948
copi 	遤	c=1 d=1 t=6883
cykk 	验证器	c=1 d=1 t=6844
d 	在	c=42 d=1.40828 t=6948
da 	左	c=1 d=0.204948 t=6948
db 	破	c=2 d=1.39344 t=6948
dcg 	码	c=1 d=1 t=6646
dd 	大	c=3 d=1.77469 t=6948
ddfg 	大雨	c=1 d=0.900325 t=6948
ddih 	大小	c=6 d=1.34321 t=6948
ddip 	大学	c=1 d=0.218712 t=6948
ddjg 	大量	c=1 d=0.00107546 t=6948
ddqq 	大多	c=1 d=0.0018734 t=6948
ddws 	大体	c=1 d=0.535261 t=6948
debv 	有限	c=2 d=0.868228 t=6948
deep 	有爱	c=3 d=0.672572 t=6948
dekr 	历史	c=1 d=0.0216013 t=6948
dern 	有所	c=1 d=0.145148 t=6948
deur 	有效	c=1 d=0.26982 t=6948
dfi 	奈	c=3 d=0.995336 t=6948
dfxp 	压缩	c=3 d=0.477956 t=6948
dg 	三	c=2 d=1.21017 t=6948
dggc 	感到	c=1 d=0.644036 t=6948
dgiv 	感染	c=2 d=0.44404 t=6948
dgjr 	硬	c=1 d=0.895834 t=6948
dgkn 	感	c=1 d=0.559898 t=6948
dgpw 	研究	c=3 d=0.489339 t=6948
dgtd 	感知	c=1 d=0.000118571 t=6948
dgv 	威	c=1 d=0.135336 t=6948
dgwh 	三个	c=1 d=0.71177 t=6948
dgws 	三体	c=5 d=1.17865 t=6948
dgww 	古人	c=1 d=0.554327 t=6948
dgxw 	三维	c=2 d=0.19995 t=6948
dhb 	存	c=1 d=0.272532 t=6948
dhce 	不能	c=1 d=0.00021605 t=6948
dhde 	还有	c=2 d=0.27228 t=6948
dhdh 	存在	c=1 d=0.000205513 t=6948
dhdr 	还原	c=4 d=0.4932 t=6948
dhet 	不用	c=1 d=0.286505 t=6948
dhga 	不开	c=1 d=1 t=6595
dhi 	不	c=5 d=0.621407 t=6948
dhjg 	不是	c=2 d=0.546156 t=6948
dhjt 	彗星	c=2 d=0.73032 t=6948
dhmg 	不同	c=7 d=0.453657 t=6948
dhsh 	不想	c=1 d=0.348193 t=6948
dhsk 	不可	c=2 d=0.0159624 t=6948
dht 	夏	c=2 d=1.25942 t=6948
dhvb 	不好	c=1 d=0.130681 t=6948
dhwf 	不会	c=1 d=0.17552 t=6948
dhxg 	在线	c=2 d=0.303645 t=6948
dide 	有没有	c=1 d=0.217621 t=6948
djoa 	百度	c=11 d=0.44859 t=6948
djtu 	百科	c=3 d=1.08959 t=6948
dkwm 	右侧	c=1 d=0.449329 t=6948
dm 	而	c=10 d=1.04969 t=6948
dmh 	布	c=1 d=0.000238772 t=6948
dmjg 	而是	c=1 d=0.00134011 t=6948
dmjj 	而	c=2 d=0.00769409 t=6948
dmu 	页	c=1 d=0.225373 t=6948
dmyy 	而言	c=1 d=0.000788803 t=6948
dn 	成	c=4 d=0.596703 t=6948
dnye 	成为	c=1 d=0.000170803 t=6948
dou 	灰	c=2 d=0.0749691 t=6948
dp 	达	c=6 d=0.441107 t=6948
dpgc 	达到	c=4 d=0.026233 t=6948
dr 	原	c=4 d=1.12519 t=6948
drgj 	原理	c=2 d=0.890016 t=6948
drii 	原	c=1 d=0.0087386 t=6948
druj 	愿意	c=1 d=0.438235 t=6948
drvc 	原始	c=3 d=0.0542336 t=6948
dsat 	不可或缺	c=1 d=0.000173385 t=6948
dsyo 	奇迹	c=3 d=1.2198 t=6948
dtbh 	帮	c=2 d=0.456461 t=6948
dtdh 	不得不	c=1 d=0.532592 t=6948
dtqd 	大自然	c=1 d=0.32628 t=6948
dttq 	故称	c=1 d=1 t=6782
dw 	其	c=8 d=0.443473 t=6948
dwbd 	奉承	c=1 d=0.597501 t=6948
dwdb 	基础	c=1 d=0.180866 t=6948
dwf 	基	c=3 d=0.713585 t=6948
dwfj 	期刊	c=6 d=0.000117012 t=6948
dwg 	奉	c=1 d=0.56836 t=6948
dwgc 	甚至	c=1 d=0.136014 t=6948
dwgf 	基于	c=16 d=0.729763 t=6948
dwkh 	其中	c=1 d=0.0480747 t=6948
dwpx 	其它	c=1 d=0.0845849 t=6948
dwqq 	基金	c=1 d=0.156453 t=6948
dwr 	斯	c=4 d=0.418991 t=6948
dwuq 	其次	c=2 d=0.428165 t=6948
dx 	龙	c=4 d=2.16142 t=6948
dy 	太	c=1 d=0.477114 t=6948
dyfp 	太过	c=1 d=0.133989 t=6948
dynj 	太慢	c=1 d=0.321423 t=6948
e 	有	c=31 d=2.87553 t=6948
ebte 	服务	c=1 d=0.447088 t=6948
eedc 	朋友	c=1 d=0.453845 t=6948
eee 	月	c=1 d=0.043937 t=6948
eeee 	月	c=1 d=0.755784 t=6948
efcb 	脚	c=1 d=0.715338 t=6948
efsg 	脚本	c=1 d=0.565525 t=6948
eg 	且	c=1 d=0.00527382 t=6948
egmh 	肺	c=1 d=0.078082 t=6948
ekcg 	驾驶	c=1 d=0.000437253 t=6948
ekfa 	加载	c=3 d=0.415003 t=6948
ekip 	加深	c=3 d=0.00283362 t=6948
ekoe 	加粗	c=1 d=0.453845 t=6948
eksq 	架构	c=5 d=0.0163083 t=6948
ekty 	加入	c=1 d=0.0175975 t=6948
en 	力	c=1 d=0.559898 t=6948
ensf 	鼠标	c=4 d=0.574618 t=6948
epc 	受	c=2 d=0.00879425 t=6948
epdc 	爱	c=1 d=0.034562 t=6948
epnt 	愛	c=1 d=0.477114 t=6948
epsa 	边框	c=2 d=0.77737 t=6948
eset 	采用	c=4 d=0.384072 t=6948
essu 	采样	c=1 d=0.224248 t=6948
eswy 	采集	c=1 d=0.138069 t=6948
et 	用	c=10 d=0.985969 t=6948
etgf 	用于	c=10 d=1.24502 t=6948
etgn 	毛	c=6 d=1.47249 t=6948
etkk 	服务器	c=1 d=0.0867255 t=6948
etyn 	用户	c=4 d=2.46019 t=6948
euyn 	腾讯	c=1 d=0.532592 t=6948
ewdd 	加拿大	c=1 d=0.349938 t=6948
ewhh 	脸上	c=1 d=0.535261 t=6948
ewsf 	股票	c=3 d=0.298351 t=6948
f 	地	c=2 d=0.406897 t=6948
fa 	域	c=1 d=1 t=6853
fawy 	截	c=1 d=1 t=6688
faxt 	裁缝	c=1 d=0.463013 t=6948
fbfh 	地址	c=6 d=1.77296 t=6948
fbn 	地	c=3 d=0.486923 t=6948
fbut 	地道	c=2 d=0.96959 t=6948
fbyy 	地方	c=2 d=0.269145 t=6948
fcb 	却	c=1 d=0.527292 t=6948
fcbw 	去除	c=2 d=0.384812 t=6948
fce 	动	c=2 d=0.206097 t=6948
fcgl 	动画	c=1 d=0.763379 t=6948
fcij 	动漫	c=5 d=1.33797 t=6948
fcqn 	博物馆	c=1 d=0.0247235 t=6948
fcra 	喜马拉雅	c=1 d=0.66034 t=6948
fcrf 	支持	c=1 d=0.0145524 t=6948
fcrh 	去掉	c=1 d=0.0161635 t=6948
fcrt 	动手	c=1 d=0.0131675 t=6948
fctg 	运行	c=4 d=0.870149 t=6948
fctu 	云盘	c=4 d=0.711702 t=6948
fcu 	云	c=8 d=1.08126 t=6948
fcu 	去	c=3 d=0.133178 t=6948
fcyn 	动词	c=1 d=0.484325 t=6948
fdn 	城	c=1 d=0.10435 t=6948
