# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	2003
#@/user_id	e778cdc0-6bca-4148-ae83-6766ddb9099d
a 	啊	c=5 d=2.59854 t=2003
a a 	啊啊	c=1 d=1 t=1922
a a a 	啊啊啊	c=1 d=1 t=1924
a a a a 	啊啊啊啊	c=0 d=0.1 t=1918
a wu wu wu wa ao a a a a a a a a a a a a a a a a a a a a 	啊嗚嗚嗚凹凹啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊	c=1 d=1 t=1919
ai 	愛	c=0 d=0.0351692 t=2003
ai pin cai hui ying 	愛拼纔會贏	c=1 d=0.353455 t=2003
an li 	案例	c=1 d=0.0211736 t=2003
an quan 	安全	c=5 d=3.0503 t=2003
an quan wen ti 	安全問題	c=1 d=0.985112 t=2003
an zhuang 	安裝	c=28 d=8.94087 t=2003
ao 	凹	c=2 d=1.64569 t=2003
ba 	霸	c=0 d=0.0044601 t=2003
ba zhou qi 	拔軸器	c=1 d=0.0575558 t=2003
bai du 	百度	c=2 d=1.3861 t=2003
bai du wang pan 	百度網盤	c=1 d=1 t=1959
bai fen hao 	百分號	c=1 d=0.778801 t=2003
bai ke 	百科	c=1 d=1.09371 t=1972
bai tiao 	白條	c=0 d=0.00584257 t=2003
ban 	板	c=0 d=0.0847894 t=2003
ban ben 	版本	c=1 d=0.71177 t=2003
ban ji 	班級	c=1 d=0.0675424 t=2003
bao 	包	c=3 d=2.08752 t=2003
bao cun 	保存	c=2 d=1.14289 t=2003
bao cun wen jian 	保存文件	c=1 d=0.814647 t=2003
bao cuo 	報錯	c=3 d=0.726149 t=2003
bao kuo 	包括	c=1 d=0.0317456 t=2003
ben ke 	本科	c=1 d=0.117068 t=2003
ben wen 	本文	c=4 d=1.02717 t=2003
ben zhi 	本質	c=0 d=0.0071719 t=2003
bi 	必	c=0 d=0.0044601 t=2003
bi 	比	c=1 d=0.211485 t=2003
bi hu 	壁虎	c=2 d=1.90284 t=2003
bi ji 	筆記	c=2 d=1.3086 t=2003
bi li bi li 	嗶哩嗶哩	c=1 d=0.965605 t=2003
bi shun 	筆順	c=2 d=1 t=2003
bi wo 	比我	c=0 d=0.0524663 t=2003
bi wo na ge 	比我那個	c=1 d=0.527292 t=2003
bi ying 	必應	c=3 d=0.182432 t=2003
bi zhang 	避障	c=1 d=0.71177 t=2003
bian cheng 	編程	c=3 d=0.102519 t=2003
bian cheng 	變成	c=0 d=0.0955997 t=2003
bian ji 	邊際	c=0 d=0.0965605 t=2003
bian ji qi 	編輯器	c=1 d=0.883171 t=2003
bian liang 	變量	c=2 d=0.358137 t=2003
bian ma 	編碼	c=1 d=0.506617 t=2003
bian mao 	邊貿	c=1 d=0.50409 t=2003
bian qian 	便籤	c=1 d=0.557106 t=2003
biao 	標	c=1 d=0.408608 t=2003
biao da shi 	表達式	c=0 d=0.0618783 t=2003
biao qian 	標籤	c=2 d=0.249428 t=2003
biao qing 	表情	c=0 d=0.0315058 t=2003
biao zhun xing 	標準型	c=3 d=2.33061 t=2003
bie de 	別的	c=0 d=0.0315058 t=2003
bie de biao qing 	別的表情	c=1 d=0.316637 t=2003
bing 	並	c=2 d=0.596001 t=2003
bing 	病	c=0 d=0.0740818 t=2003
bing bing 	冰冰	c=2 d=0.15384 t=2003
bing shu qian tou wan mu chun 	病樹前頭萬木春	c=1 d=0.744532 t=2003
bo fang 	播放	c=1 d=0.436049 t=2003
bo shu 	帛書	c=1 d=0.0789941 t=2003
bo shu lao zi 	帛書老子	c=1 d=0.0658748 t=2003
bu 	不	c=1 d=0.0225956 t=2003
bu cun zai 	不存在	c=1 d=0.683861 t=2003
bu cuo 	不錯	c=0 d=0.0111917 t=2003
bu dui 	不對	c=1 d=0.559898 t=2003
bu e 	不餓	c=1 d=0.985112 t=2003
bu hao 	不好	c=1 d=0.477114 t=2003
bu hui 	不會	c=1 d=0.0977834 t=2003
bu neng 	不能	c=2 d=1.23876 t=2003
bu pa 	不怕	c=0 d=0.0251579 t=2003
bu quan 	補全	c=1 d=0.321208 t=2003
bu tai 	不太	c=0 d=0.1 t=2001
bu tai leng 	不太冷	c=1 d=1 t=2002
bu tong 	不同	c=0 d=0.00284388 t=2003
bu tong de 	不同的	c=2 d=0.0580333 t=2003
bu wen ding 	不穩定	c=0 d=0.00244775 t=2003
bu wen ding yin su 	不穩定因素	c=1 d=0.0246002 t=2003
bu zhi 	不知	c=1 d=0.269904 t=2003
cai gan 	才幹	c=0 d=0.0236928 t=2003
cai hui 	纔會	c=0 d=0.0351692 t=2003
cai ji 	採集	c=1 d=0.209088 t=2003
cai yong 	採用	c=1 d=0.447088 t=2003
cai yun 	彩雲	c=3 d=1.98355 t=2003
can kao 	參考	c=1 d=1 t=2003
can kao wen xian 	參考文獻	c=1 d=0.486752 t=2003
can shu 	參數	c=1 d=0.236928 t=2003
cang jie 	倉頡	c=1 d=0.843665 t=2003
cang tian 	蒼天	c=1 d=0.634448 t=2003
cao zuo 	操作	c=2 d=0.670264 t=2003
ce 	側	c=0 d=0.0737123 t=2003
ce shi 	測試	c=1 d=0.436049 t=2003
ceng 	層	c=1 d=0.416862 t=2003
ceng 	曾	c=1 d=0.414783 t=2003
cha jian 	插件	c=4 d=1.01773 t=2003
cha kan 	查看	c=1 d=0.70822 t=2003
cha xun 	查詢	c=2 d=0.782705 t=2003
cha yi 	差異	c=1 d=0.88692 t=2003
chan cheng 	禪城	c=1 d=0.826959 t=2003
chan liang 	產量	c=1 d=0.812707 t=2003
chan sheng 	產生	c=1 d=0.831104 t=2003
chang jian 	常見	c=2 d=1.2782 t=2003
chang jin hu 	長津湖	c=2 d=1.35751 t=2003
chang jing 	場景	c=1 d=1.04635 t=2003
chang jing liu 	場景流	c=2 d=0.955997 t=2003
chang lin 	長林	c=0 d=0.019593 t=2003
chao ding 	超定	c=1 d=0.453845 t=2003
chao lian jie 	超鏈接	c=1 d=0.559898 t=2003
che 	車	c=1 d=0.67368 t=2003
che dao 	車道	c=1 d=0.715338 t=2003
che dao jian ce 	車道檢測	c=1 d=0.145148 t=2003
che ju 	車距	c=1 d=1 t=2003
che ju jian ce 	車據檢測	c=1 d=0.985112 t=2003
che wei 	車位	c=1 d=0.66034 t=2003
chen 	沉	c=0 d=0.0737123 t=2003
chen zhou ce pan qian fan guo 	沉舟側畔千帆過	c=2 d=1.48908 t=2003
cheng 	乘	c=1 d=0.618783 t=2003
cheng 	成	c=2 d=0.509156 t=2003
cheng 	撐	c=0 d=0.00536647 t=2003
cheng jiu 	成就	c=1 d=0.946485 t=2003
cheng le 	成了	c=0 d=0.00343896 t=2003
cheng xu 	程序	c=2 d=0.69435 t=2003
chi bu 	吃不	c=0 d=0.00536647 t=2003
chi bu cheng 	吃不撐	c=1 d=0.0539337 t=2003
chong 	充	c=1 d=0.360595 t=2003
chong he 	重合	c=0 d=0.0501576 t=2003
chong he le 	重合了	c=1 d=0.50409 t=2003
chong qian 	衝錢	c=1 d=0.353455 t=2003
chong zhi 	充值	c=2 d=0.635431 t=2003
chu fa qi 	觸發器	c=4 d=1.48536 t=2003
chu hao 	除號	c=1 d=0.774916 t=2003
chu kou 	出口	c=1 d=0.83527 t=2003
chuan 	傳	c=1 d=0.840683 t=2003
chuan liu 	串流	c=1 d=0.433874 t=2003
chuan shu 	傳輸	c=4 d=2.85205 t=2003
chuan song 	傳送	c=0 d=0.141291 t=2003
chuan song men 	傳送們	c=1 d=0.70822 t=2003
chuan song men 	傳送門	c=1 d=0.71177 t=2003
chuan wen jian 	傳文件	c=1 d=0.67032 t=2003
chuan xi lu 	傳習錄	c=1 d=0.0652193 t=2003
chuang jian 	創建	c=2 d=1.0722 t=2003
chuang kou 	窗口	c=6 d=2.93435 t=2003
chuang kou cao zuo 	窗口操作	c=2 d=1.69156 t=2003
chuang yi 	創意	c=1 d=0.0295289 t=2003
chuang yi bian cheng 	創意編程	c=5 d=0.228481 t=2003
chui 	垂	c=1 d=0.937067 t=2003
chui zhi 	垂直	c=1 d=0.873716 t=2003
chun 	春	c=0 d=0.0740818 t=2003
ci 	次	c=1 d=0.640824 t=2003
ci dian 	詞典	c=6 d=3.85772 t=2003
ci hui 	詞彙	c=3 d=1.05029 t=2003
ci tiao 	詞條	c=2 d=0.98091 t=2003
cong 	從	c=3 d=1.16361 t=2003
cong guo jia an quan 	從國家安全	c=1 d=0.0222592 t=2003
cun chu 	存儲	c=1 d=0.410656 t=2003
cun chu guo cheng 	存儲過程	c=4 d=1.51058 t=2003
da 	噠	c=1 d=0.0500366 t=2003
da 	打	c=0 d=0.0790571 t=2003
da an 	答案	c=5 d=2.54934 t=2003
da ge 	大哥	c=0 d=0.0634448 t=2003
da kai 	打開	c=2 d=0.265803 t=2003
da sai 	大賽	c=1 d=0.0464212 t=2003
da shang 	打賞	c=0 d=0.0112478 t=2003
da shang yi ge 	打賞一個	c=1 d=0.113042 t=2003
da ti 	大題	c=1 d=0.427415 t=2003
da wan 	打完	c=1 d=0.822835 t=2003
da xiao xie 	大小寫	c=1 d=0.298197 t=2003
da xue 	大學	c=0 d=0.0918512 t=2003
da yin 	打印	c=1 d=0.0513033 t=2003
da zi 	打字	c=2 d=1.1545 t=2003
da zi ji 	打字機	c=3 d=1.7746 t=2003
dai 	戴	c=0 d=0.0951229 t=2003
dai ban 	代辦	c=0 d=0.0970446 t=2003
dai ban shi xiang 	代辦事項	c=1 d=0.97531 t=2003
dai kou zhao 	戴口罩	c=2 d=1.91678 t=2003
dai li 	代理	c=2 d=0.709538 t=2003
dai li fu wu 	代理服務	c=1 d=0.588605 t=2003
dai ma 	代碼	c=1 d=0.546074 t=2003
dan 	但	c=4 d=1.94688 t=2003
dan shi 	但是	c=1 d=0.946485 t=2003
dang 	當	c=0 d=0.0222017 t=2003
dang 	黨	c=0 d=0.00437178 t=2003
dang qian 	當前	c=1 d=0.822835 t=2003
dang ran 	當然	c=0 d=0.00948935 t=2003
dang ran la 	當然啦	c=2 d=0.191216 t=2003
