# Rime user dictionary
#@/db_name	wubi98
#@/db_type	userdb
#@/rime_version	1.8.4
#@/tick	8092
#@/user_id	Linux
aa 	式	c=9 d=6.67651 t=8092
aaaa 	工	c=2 d=1.02665 t=8092
aad 	匞	c=1 d=1.10288e-05 t=8092
aadh 	式不	c=-3 d=3.20323 t=8092
aadh 	藏在	c=-1 d=1.99501 t=8092
aaet 	藏毛	c=1 d=1 t=8092
aahw 	工具	c=7 d=1.32623 t=8092
aaoh 	工业	c=1 d=0.0227089 t=8092
aau 	藏	c=4 d=1.07911 t=8092
aawt 	工作	c=9 d=0.38883 t=8092
aayu 	工商	c=10 d=3.22685 t=8092
ab 	节	c=2 d=0.496585 t=8092
abit 	节省	c=1 d=0.0911726 t=8092
abj 	节	c=1 d=0.217621 t=8092
abjj 	节日	c=1 d=0.310367 t=8092
adab 	雅克萨	c=2 d=0.817257 t=8092
ade 	戎	c=1 d=0.386741 t=8092
adhh 	项目	c=2 d=1.51427 t=8092
aece 	功能	c=1 d=0.814647 t=8092
aes 	菜	c=2 d=0.421707 t=8092
aeyj 	功课	c=1 d=0.169484 t=8092
afbb 	鞭子	c=1 d=0.244143 t=8092
afr 	靳	c=1 d=0.456119 t=8092
ag 	七	c=1 d=0.535261 t=8092
aghg 	廿	c=1 d=0.548811 t=8092
agta 	董事长	c=1 d=0.0230521 t=8092
agu 	芙	c=1 d=1.09738e-05 t=8092
aguf 	苹	c=5 d=1.34119 t=8092
agyy 	苹方	c=2 d=0.904259 t=8092
ahnh 	卧	c=4 d=0.995561 t=8092
ahty 	雅	c=1 d=0.546074 t=8092
ai 	东	c=2 d=1.37957 t=8092
aii 	莎	c=1 d=0.331211 t=8092
aisg 	东西	c=1 d=0.222018 t=8092
ajat 	草莓	c=1 d=0.396532 t=8092
ajj 	草	c=1 d=0.210136 t=8092
ak 	或	c=4 d=0.950078 t=8092
akym 	欧路词典	c=1 d=0.145883 t=8092
alaw 	蔑	c=1 d=0.106459 t=8092
albi 	蘻	c=2 d=1.9802 t=8092
alq 	萝	c=2 d=0.295275 t=8092
amfm 	贡献	c=1 d=1.74705e-05 t=8092
amw 	黄	c=2 d=0.595845 t=8092
amyg 	英语	c=23 d=5.63878 t=8092
amyy 	英文	c=8 d=2.65383 t=8092
andd 	巨大	c=1 d=0.339596 t=8092
ansy 	艺术	c=1 d=0.0246002 t=8092
anu 	芯	c=1 d=0.980199 t=8092
anv 	世	c=2 d=0.619887 t=8092
anxn 	世纪	c=2 d=1.01124 t=8092
aps 	荣	c=1 d=0.416862 t=8092
aqbc 	获取	c=12 d=1.90908 t=8092
aqou 	炁	c=1 d=0.71177 t=8092
aqtj 	获得	c=2 d=0.243205 t=8092
arke 	区别	c=1 d=0.133321 t=8092
arkh 	欧路	c=3 d=1.40721 t=8092
arqw 	欧	c=3 d=0.421741 t=8092
arwv 	区分	c=1 d=0.856415 t=8092
atip 	医学	c=1 d=0.377192 t=8092
atj 	莉	c=2 d=0.296756 t=8092
atx 	莓	c=1 d=0.985112 t=8092
atxu 	莓	c=1 d=0.299692 t=8092
auip 	共产党	c=1 d=0.628135 t=8092
avrq 	切换	c=8 d=1.81738 t=8092
avth 	切片	c=1 d=0.197898 t=8092
aw 	共	c=1 d=0.0850088 t=8092
awdb 	东风破	c=1 d=0.733447 t=8092
awet 	共用	c=4 d=0.434811 t=8092
awmg 	共同	c=1 d=0.00794671 t=8092
awnn 	花书	c=1 d=0.0155297 t=8092
awx 	花	c=2 d=0.0189809 t=8092
awxj 	花费	c=1 d=0.537945 t=8092
awyb 	共享	c=5 d=1.34608 t=8092
ay 	芳	c=1 d=0.173774 t=8092
b 	了	c=40 d=2.89046 t=8092
b 	子	c=1 d=0.396532 t=8092
bai 	陈	c=1 d=0.402525 t=8092
bb 	子	c=5 d=0.398519 t=8092
bbb 	子	c=1 d=0.402525 t=8092
bbbb 	子	c=2 d=1.02592 t=8092
bc 	取	c=1 d=0.909373 t=8092
bdpp 	随之	c=1 d=0.00151855 t=8092
bduh 	随着	c=2 d=0.00155657 t=8092
bfi 	际	c=1 d=0.467666 t=8092
bgb 	陆	c=1 d=0.414783 t=8092
biov 	函数	c=4 d=1.7116 t=8092
bjfc 	阿里云	c=1 d=0.00810725 t=8092
bkgf 	聖	c=1 d=0.869358 t=8092
bkoh 	职业	c=2 d=1.20165 t=8092
bkwu 	职位	c=2 d=1.60967 t=8092
blbl 	阵阵	c=3 d=2.83029 t=8092
bm 	出	c=2 d=0.198914 t=8092
bmf 	祟	c=1 d=0.118838 t=8092
bmgm 	出现	c=5 d=2.69065 t=8092
bmgu 	出来	c=2 d=0.619341 t=8092
bn 	也	c=7 d=1.09929 t=8092
bneg 	皮肤	c=3 d=3.44356 t=8092
bnjg 	也是	c=2 d=0.367423 t=8092
bnty 	皮	c=2 d=0.201632 t=8092
boff 	防火墙	c=2 d=0.885293 t=8092
bqaa 	隐藏	c=1 d=0.603506 t=8092
bs 	阿	c=2 d=0.70868 t=8092
bsjf 	阿里	c=8 d=0.264661 t=8092
btwq 	降低	c=1 d=0.375311 t=8092
buwg 	联合	c=3 d=0.238594 t=8092
bwg y 	除主	c=-1 d=0 t=8092
bwgs 	除	c=1 d=0.650509 t=8092
by 	及	c=4 d=1.67055 t=8092
byn 	孩	c=1 d=0.130029 t=8092
c 	以	c=7 d=0.844594 t=8092
cb 	邓	c=1 d=0.524662 t=8092
cc 	双	c=5 d=0.809966 t=8092
cccc 	又	c=1 d=9.95352e-05 t=8092
cccs 	桑	c=1 d=0.386741 t=8092
cccu 	叒	c=1 d=0.101267 t=8092
cchh 	双目	c=3 d=0.00207692 t=8092
ccru 	双拼	c=2 d=1.62119 t=8092
ccww 	双人	c=2 d=1.84163 t=8092
ccxg 	双线	c=1 d=0.88692 t=8092
cd 	参	c=6 d=2.12752 t=8092
cdcm 	参观	c=1 d=0.0248475 t=8092
cdfh 	对不起	c=1 d=0.168638 t=8092
cdft 	参考	c=4 d=0.0107352 t=8092
cdov 	参数	c=21 d=7.20314 t=8092
ce 	能	c=3 d=1.11297 t=8092
ceet 	通用	c=1 d=0.0466538 t=8092
cefp 	通过	c=9 d=1.55904 t=8092
ceip 	通常	c=4 d=0.863444 t=8092
cep 	通	c=1 d=0.740818 t=8092
ceqk 	能够	c=1 d=0.00429631 t=8092
cetd 	通知	c=2 d=0.848444 t=8092
ceut 	通道	c=2 d=0.317671 t=8092
